Paragraph,CF – Contribution flow,CT – Choose a task,FM – Find a mentor,TC – Talk to the community,BW – Build local workspace,DC – Deal with the code,SC – Submit the changes,University,Author,Filename,Paragraph Index,Document
"### Using SOCKS for Hive or HDFS

If your Hive metastore or HDFS cluster is not directly accessible to your local machine, you can use SSH port forwarding to access it. Setup a dynamic SOCKS proxy with SSH listening on local port 1080:

    ssh -v -N -D 1080 server

Then add the following to the list of VM options:

    -Dhive.metastore.thrift.client.socks-proxy=localhost:1080",0,0,0,0,1,0,0,usp,student_g,facebook_presto.xlsx,10,README
"### Running the CLI

Start the CLI to connect to the server and run SQL queries:

    presto-cli/target/presto-cli-*-executable.jar

Run a query to see the nodes in the cluster:

    SELECT * FROM system.runtime.nodes;

In the sample configuration, the Hive connector is mounted in the `hive` catalog, so you can run the following queries to show the tables in the Hive database `default`:

    SHOW TABLES FROM hive.default;",0,0,0,0,1,0,0,usp,student_g,facebook_presto.xlsx,11,README
"## Code Style

We recommend you use IntelliJ as your IDE. The code style template for the project can be found in the [codestyle](https://github.com/airlift/codestyle) repository along with our general programming and Java guidelines. In addition to those you should also adhere to the following:",0,0,0,0,0,1,0,usp,student_g,facebook_presto.xlsx,12,README
"* Alphabetize sections in the documentation source files (both in table of contents files and other regular documentation files). In general, alphabetize methods/variables/sections if such ordering already exists in the surrounding code.",0,0,0,0,0,1,0,usp,student_g,facebook_presto.xlsx,13,README
"* When appropriate, use the Java 8 stream API. However, note that the stream implementation does not perform well so avoid using it in inner loops or otherwise performance sensitive sections.",0,0,0,0,0,1,0,usp,student_g,facebook_presto.xlsx,14,README
"* Categorize errors when throwing exceptions. For example, PrestoException takes an error code as an argument, `PrestoException(HIVE_TOO_MANY_OPEN_PARTITIONS)`. This categorization lets you generate reports so you can monitor the frequency of various failures.",0,0,0,0,0,1,0,usp,student_g,facebook_presto.xlsx,15,README
* Ensure that all files have the appropriate license header; you can generate the license by running `mvn license:format`.,0,0,0,0,0,1,0,usp,student_g,facebook_presto.xlsx,16,README
"* Consider using String formatting (printf style formatting using the Java `Formatter` class): `format(""Session property %s is invalid: %s"", name, value)` (note that `format()` should always be statically imported). Sometimes, if you only need to append something, consider using the `+` operator.",0,0,0,0,0,1,0,usp,student_g,facebook_presto.xlsx,17,README
* Avoid using the ternary operator except for trivial expressions.,0,0,0,0,0,1,0,usp,student_g,facebook_presto.xlsx,18,README
* Use an assertion from Airlift's `Assertions` class if there is one that covers your case rather than writing the assertion by hand. Over time we may move over to more fluent assertions like AssertJ.,0,0,0,0,0,1,0,usp,student_g,facebook_presto.xlsx,19,README
"* When writing a Git commit message, follow these [guidelines](https://chris.beams.io/posts/git-commit/).",0,0,0,0,0,1,0,usp,student_g,facebook_presto.xlsx,20,README
"## Building the Web UI

The Presto Web UI is composed of several React components and is written in JSX and ES6. This source code is compiled and packaged into browser-compatible Javascript, which is then checked in to the Presto source code (in the `dist` folder). You must have [Node.js](https://nodejs.org/en/download/) and [Yarn](https://yarnpkg.com/en/) installed to execute these commands. To update this folder after making changes, simply run:

    yarn --cwd presto-main/src/main/resources/webapp/src install",0,0,0,0,0,0,1,usp,student_g,facebook_presto.xlsx,21,README
"If no Javascript dependencies have changed (i.e., no changes to `package.json`), it is faster to run:

    yarn --cwd presto-main/src/main/resources/webapp/src run package",0,0,0,0,0,0,1,usp,student_g,facebook_presto.xlsx,22,README
"To simplify iteration, you can also run in `watch` mode, which automatically re-compiles when changes to source files are detected:

    yarn --cwd presto-main/src/main/resources/webapp/src run watch",0,0,0,0,0,0,1,usp,student_g,facebook_presto.xlsx,23,README
"To iterate quickly, simply re-build the project in IntelliJ after packaging is complete. Project resources will be hot-reloaded and changes are reflected on browser refresh.",0,0,0,0,0,0,1,usp,student_g,facebook_presto.xlsx,24,README
"# Contributing to Presto

## Contributor License Agreement (""CLA"")

In order to accept your pull request, we need you to submit a CLA. You only need to do this once, so if you've done this for another Facebook open source project, you're good to go. If you are submitting a pull request for the first time, just let us know that you have completed the CLA and we can cross-check with your GitHub username.",1,0,0,0,0,0,0,usp,student_g,facebook_presto.xlsx,2,CONTRIBUTING
Complete your CLA here: <https://code.facebook.com/cla>,1,0,0,0,0,0,0,usp,student_g,facebook_presto.xlsx,3,CONTRIBUTING
"## License

By contributing to Presto, you agree that your contributions will be licensed under the [Apache License Version 2.0 (APLv2)](LICENSE).",1,0,0,0,0,0,0,usp,student_g,facebook_presto.xlsx,4,CONTRIBUTING
"Kivy
====

<img align=""right"" height=""256"" src=""https://raw.githubusercontent.com/kivy/kivy/master/kivy/data/logo/kivy-icon-256.png""/>

Innovative user interfaces made easy.

Kivy is an open source, cross-platform [Python](https://www.python.org)
framework for the development of applications that make use of innovative,
multi-touch user interfaces.
The aim is to allow for quick and easy interaction design and rapid prototyping
whilst making your code reusable and deployable.
",0,0,0,0,0,0,0,usp,student_a,kivy_kivy.xlsx,2,README
"Kivy is written in Python and [Cython](http://cython.org/), based on OpenGL ES
2, supports various input devices and has an extensive widget library. With the
same codebase, you can target Windows, macOS, Linux, Android and iOS. All Kivy
widgets are built with multitouch support.",0,0,0,0,0,0,0,usp,student_a,kivy_kivy.xlsx,3,README
"Kivy is MIT licensed, actively developed by a great community and is supported
by many projects managed by the [Kivy Organization](https://kivy.org/#organization).",0,0,0,0,0,0,0,usp,student_a,kivy_kivy.xlsx,4,README
"[![Coverage Status](https://coveralls.io/repos/kivy/kivy/badge.svg?branch=master)](https://coveralls.io/r/kivy/kivy?branch=master)
[![Build Status](https://travis-ci.org/kivy/kivy.svg?branch=master)](https://travis-ci.org/kivy/kivy)
[![Build status](https://ci.appveyor.com/api/projects/status/sqc46n4a3bq2gj1s/branch/master?svg=true)](https://ci.appveyor.com/project/KivyOrg/kivy/branch/master)
[![Bountysource](https://www.bountysource.com/badge/tracker?tracker_id=42681)](https://www.bountysource.com/trackers/42681-kivy?utm_source=42681&utm_medium=shield&utm_campaign=TRACKER_BADGE)
[![Backers on Open Collective](https://opencollective.com/kivy/backers/badge.svg)](#backers) 
[![Sponsors on Open Collective](https://opencollective.com/kivy/sponsors/badge.svg)](#sponsors) ",0,0,0,0,0,0,0,usp,student_a,kivy_kivy.xlsx,5,README
"Installation, Documentation and Examples
----------------------------------------

Extensive installation instructions as well as tutorials and general
documentation, including an API reference, can be found at https://kivy.org/docs.
A [PDF version](https://media.readthedocs.org/pdf/kivy/latest/kivy.pdf) is also available.",0,0,0,0,1,0,0,usp,student_a,kivy_kivy.xlsx,6,README
Kivy ships with many examples which can be found in the `examples` folder.,0,0,0,0,0,0,0,usp,student_a,kivy_kivy.xlsx,7,README
"Support
-------

If you need assistance, you can ask for help on our mailing list:

* User Group : https://groups.google.com/group/kivy-users
* Email      : kivy-users@googlegroups.com",0,0,0,1,0,0,0,usp,student_a,kivy_kivy.xlsx,8,README
"We also have a Discord channel:

* Server     : https://chat.kivy.org
* Channel    : #support",0,0,0,1,0,0,0,usp,student_a,kivy_kivy.xlsx,9,README
"Contributing
------------

We love pull requests and discussing novel ideas. Check out our
[contribution guide](https://kivy.org/docs/contribute.html) and
feel free to improve Kivy.",1,0,0,0,0,0,0,usp,student_a,kivy_kivy.xlsx,10,README
"The following mailing list and Discord channel are used exclusively for
discussions about developing the Kivy framework and its sister projects:

* Dev Group : https://groups.google.com/group/kivy-dev
* Email     : kivy-dev@googlegroups.com",0,0,1,1,0,0,0,usp,student_a,kivy_kivy.xlsx,11,README
"Discord channel:

* Server     : https://chat.kivy.org
* Channel    : #dev",0,0,0,1,0,0,0,usp,student_a,kivy_kivy.xlsx,12,README
"Sister projects
---------------

- [Buildozer](https://github.com/kivy/buildozer): generic Python packager
  for Android and iOS.
- [Plyer](https://github.com/kivy/plyer): platform-independent Python wrapper
  for platform-dependent APIs.
- [Pyjnius](https://github.com/kivy/pyjnius): dynamic access to the Java/Android
  API from Python.
- [Pyobjus](https://github.com/kivy/pyobjus): dynamic access to the
  Objective-C/iOS API from Python.
- [Python for Android](https://github.com/kivy/python-for-android): toolchain
  for building and packaging Python applications for Android.
- [Kivy iOS](https://github.com/kivy/kivy-ios): toolchain for building and
  packaging Kivy applications for iOS.
- [Audiostream](https://github.com/kivy/audiostream): library for direct access
  to the microphone and speaker.
- [Kivy Designer](https://github.com/kivy/kivy-designer): UI designer for Kivy.
- [KivEnt](https://github.com/kivy/kivent): entity-based game engine for Kivy.
- [Garden](https://github.com/kivy-garden): widgets and libraries created and
  maintained by users.
* [Oscpy](https://github.com/kivy/oscpy/): a fast and tested python2/3
  implementation of OSC.
",0,0,0,0,0,0,0,usp,student_a,kivy_kivy.xlsx,13,README
"Licenses
--------

- Kivy is released under the terms of the MIT License. Please refer to the
  LICENSE file.
- The provided fonts Roboto and Roboto Mono are licensed and
  distributed under the terms of the
  [Apache License, Version 2.0](https://www.apache.org/licenses/LICENSE-2.0).
  The DejaVuSans (used for the virtual keyboard) license can be viewed
  [here](https://github.com/dejavu-fonts/dejavu-fonts/blob/master/LICENSE).
- The current UI design has been adapted from Moblintouch theme's SVGs
  and is licensed under the terms of the
  [LGPLv2.1](https://www.gnu.org/licenses/old-licenses/lgpl-2.1).",0,0,0,0,0,0,0,usp,student_a,kivy_kivy.xlsx,14,README
"## Contributors

This project exists thanks to all the people who contribute. [[Contribute](.github/CONTRIBUTING.md)].
<a href=""https://github.com/kivy/kivy/graphs/contributors""><img src=""https://opencollective.com/kivy/contributors.svg?width=890&button=false"" /></a>",0,0,0,0,0,0,0,usp,student_a,kivy_kivy.xlsx,15,README
"## Backers

Thank you to all our backers! 🙏 [[Become a backer](https://opencollective.com/kivy#backer)]

<a href=""https://opencollective.com/kivy#backers"" target=""_blank""><img src=""https://opencollective.com/kivy/backers.svg?width=890""></a>",0,0,0,0,0,0,0,usp,student_a,kivy_kivy.xlsx,16,README
"## Sponsors

Support this project by becoming a sponsor. Your logo will show up here with a link to your website. [[Become a sponsor](https://opencollective.com/kivy#sponsor)]

<a href=""https://opencollective.com/kivy/sponsor/0/website"" target=""_blank""><img src=""https://opencollective.com/kivy/sponsor/0/avatar.svg""></a>
<a href=""https://opencollective.com/kivy/sponsor/1/website"" target=""_blank""><img src=""https://opencollective.com/kivy/sponsor/1/avatar.svg""></a>
<a href=""https://opencollective.com/kivy/sponsor/2/website"" target=""_blank""><img src=""https://opencollective.com/kivy/sponsor/2/avatar.svg""></a>
<a href=""https://opencollective.com/kivy/sponsor/3/website"" target=""_blank""><img src=""https://opencollective.com/kivy/sponsor/3/avatar.svg""></a>
<a href=""https://opencollective.com/kivy/sponsor/4/website"" target=""_blank""><img src=""https://opencollective.com/kivy/sponsor/4/avatar.svg""></a>
<a href=""https://opencollective.com/kivy/sponsor/5/website"" target=""_blank""><img src=""https://opencollective.com/kivy/sponsor/5/avatar.svg""></a>
<a href=""https://opencollective.com/kivy/sponsor/6/website"" target=""_blank""><img src=""https://opencollective.com/kivy/sponsor/6/avatar.svg""></a>
<a href=""https://opencollective.com/kivy/sponsor/7/website"" target=""_blank""><img src=""https://opencollective.com/kivy/sponsor/7/avatar.svg""></a>
<a href=""https://opencollective.com/kivy/sponsor/8/website"" target=""_blank""><img src=""https://opencollective.com/kivy/sponsor/8/avatar.svg""></a>
<a href=""https://opencollective.com/kivy/sponsor/9/website"" target=""_blank""><img src=""https://opencollective.com/kivy/sponsor/9/avatar.svg""></a>",0,0,0,0,0,0,0,usp,student_a,kivy_kivy.xlsx,17,README
"##[Contributing](https://kivy.org/docs/contribute.html)

There are many ways in which you can contribute to Kivy.
Code patches are just one thing amongst others that you can submit to help the
project. We also welcome feedback, bug reports, feature requests, documentation
improvements, advertisement & advocating, testing, graphics contributions and
many different things. Just talk to us if you want to help, and we will help you
help us.",1,0,0,0,0,0,0,usp,student_a,kivy_kivy.xlsx,2,CONTRIBUTING
"##[Feedback](https://kivy.org/docs/contact.html)

This is by far the easiest way to contribute something. If you're using
Kivy for your own project, don't hesitate sharing. It doesn't have to be a
high-class enterprise app, obviously. It's just incredibly motivating to
know that people use the things you develop. If you have something that
you would like to tell us, please don't
hesitate. Screenshots and videos are also very welcome!",1,1,0,1,0,0,0,usp,student_a,kivy_kivy.xlsx,3,CONTRIBUTING
"We're also interested in the problems you had when getting started. Please
feel encouraged to report any obstacles you encountered such as missing
documentation, misleading directions or similar.
We are perfectionists, so even if it's just a typo, let us know.",0,0,0,1,0,0,0,usp,student_a,kivy_kivy.xlsx,4,CONTRIBUTING
"#[Reporting an Issue](https://kivy.org/docs/contribute.html#reporting-an-issue)

If you have any problems, a crash, a segfault, missing documentation, invalid
spelling, weird examples, please take 2 minutes to report the issue and follow
the guide lines mentioned
[here.](https://kivy.org/docs/contribute.html#reporting-an-issue)",0,0,0,0,0,1,0,usp,student_a,kivy_kivy.xlsx,5,CONTRIBUTING
"##[Code Contributions](https://kivy.org/docs/contribute.html#code-contributions)

Code contributions (patches, new features) are the most obvious way to help with
the project's development. Since this is quite common, we ask you to follow our
workflow to most efficiently work with us. Adhering to our workflow ensures that
your contribution won't be forgotten or lost. Also, your name will always be
associated with the change you made, which basically means eternal fame in our
code history (you can opt-out if you don't want that).",1,0,0,0,0,0,0,usp,student_a,kivy_kivy.xlsx,6,CONTRIBUTING
* [Coding style](https://kivy.org/docs/contribute.html#coding-style),0,0,0,0,0,0,0,usp,student_a,kivy_kivy.xlsx,7,CONTRIBUTING
* [Performance](https://kivy.org/docs/contribute.html#performance),0,0,0,0,0,0,0,usp,student_a,kivy_kivy.xlsx,8,CONTRIBUTING
* [Git & GitHub](https://kivy.org/docs/contribute.html#git-github),0,0,0,0,0,0,0,usp,student_a,kivy_kivy.xlsx,9,CONTRIBUTING
* [Code Workflow](https://kivy.org/docs/contribute.html#code-workflow),0,0,0,0,0,0,0,usp,student_a,kivy_kivy.xlsx,10,CONTRIBUTING
"##[Documentation Contributions](https://kivy.org/docs/contribute.html#documentation-contributions)

Documentation contributions generally follow the same workflow as code
contributions, just a bit more lax. We don't ask you to go through all the
hassle just to correct a single typo. For more complex contributions, please
follow the suggested workflow.",1,0,0,0,0,1,0,usp,student_a,kivy_kivy.xlsx,11,CONTRIBUTING
* [Docstrings](https://kivy.org/docs/contribute.html#docstrings),0,0,0,0,0,0,0,usp,student_a,kivy_kivy.xlsx,12,CONTRIBUTING
"#Unit tests contributions

The [Unit tests](https://kivy.org/docs/contribute-unittest.html) page
explains how the Kivy unit tests work and how you can create your own. Please
use the same approach as the `Code Workflow` to
[submit new tests](https://kivy.org/docs/contribute.html#unit-tests-contributions).",1,0,0,0,0,1,0,usp,student_a,kivy_kivy.xlsx,13,CONTRIBUTING
"# [jQuery UI](http://jqueryui.com/) - Interactions and Widgets for the web

jQuery UI is a curated set of user interface interactions, effects, widgets, and themes built on top of jQuery. Whether you're building highly interactive web applications, or you just need to add a date picker to a form control, jQuery UI is the perfect choice.",0,0,0,0,0,0,0,usp,student_a,jquery_jquery-ui.xlsx,2,README
"If you want to use jQuery UI, go to [jqueryui.com](http://jqueryui.com) to get started, [jqueryui.com/demos/](http://jqueryui.com/demos/) for demos, [api.jqueryui.com](http://api.jqueryui.com/) for API documentation, or the [Using jQuery UI Forum](http://forum.jquery.com/using-jquery-ui) for discussions and questions.",0,0,0,0,1,0,0,usp,student_a,jquery_jquery-ui.xlsx,3,README
"If you want to report a bug/issue, please visit [bugs.jqueryui.com](http://bugs.jqueryui.com).",1,0,0,0,0,0,0,usp,student_a,jquery_jquery-ui.xlsx,4,README
"If you are interested in helping develop jQuery UI, you are in the right place.
To discuss development with team members and the community, visit the [Developing jQuery UI Forum](http://forum.jquery.com/developing-jquery-ui) or [#jqueryui-dev on irc.freenode.net](http://irc.jquery.org/).",0,0,0,0,0,0,0,usp,student_a,jquery_jquery-ui.xlsx,5,README
"## For Contributors

If you want to help and provide a patch for a bugfix or new feature, please take
a few minutes and look at [our Getting Involved guide](http://wiki.jqueryui.com/w/page/35263114/Getting-Involved).
In particular check out the [Coding standards](http://wiki.jqueryui.com/w/page/12137737/Coding-standards)
and [Commit Message Style Guide](http://contribute.jquery.org/commits-and-pull-requests/#commit-guidelines).",1,0,0,0,0,0,0,usp,student_a,jquery_jquery-ui.xlsx,6,README
"In general, fork the project, create a branch for a specific change and send a
pull request for that branch. Don't mix unrelated changes. You can use the commit
message as the description for the pull request.",1,0,0,0,0,1,1,usp,student_a,jquery_jquery-ui.xlsx,7,README
"For more information, see the [contributing page](CONTRIBUTING.md).",1,0,0,0,0,0,0,usp,student_a,jquery_jquery-ui.xlsx,8,README
"## Running the Unit Tests

Run the unit tests manually with appropriate browsers and any local web server. See our [environment setup](CONTRIBUTING.md#environment-minimum-required) and [information on running tests](CONTRIBUTING.md#running-the-tests).",1,0,0,0,1,0,0,usp,student_a,jquery_jquery-ui.xlsx,9,README
You can also run the unit tests inside phantomjs by [setting up your environment](CONTRIBUTING.md#user-content-environment-recommended-setup).,1,0,0,0,1,0,0,usp,student_a,jquery_jquery-ui.xlsx,10,README
"# Contributing to jQuery UI

Welcome! Thanks for your interest in contributing to jQuery UI. Most of our information on how to contribute to this and all other jQuery Foundation projects is over at [contribute.jquery.org](http://contribute.jquery.org). You'll definitely want to take a look at the articles on contributing [code](http://contribute.jquery.org/code).",1,0,0,0,0,0,0,usp,student_a,jquery_jquery-ui.xlsx,2,CONTRIBUTING
"You may also want to take a look at our [commit & pull request guide](http://contribute.jquery.org/commits-and-pull-requests/) and [style guides](http://contribute.jquery.org/style-guide/) for instructions on how to maintain your fork and submit your code. Before we can merge any pull request, we'll also need you to sign our [contributor license agreement](http://contribute.jquery.org/cla).",1,0,0,0,0,0,1,usp,student_a,jquery_jquery-ui.xlsx,3,CONTRIBUTING
"You can find us on [IRC](http://irc.jquery.org), specifically in #jqueryui-dev should you have any questions. If you've never contributed to open source before, we've put together [a short guide with tips, tricks, and ideas on getting started](http://contribute.jquery.org/open-source/). For other forms of discussion and support, please see the [jQuery UI support center](http://jqueryui.com/support/).",0,0,0,1,0,0,0,usp,student_a,jquery_jquery-ui.xlsx,4,CONTRIBUTING
"## Getting Involved

There are a number of ways to get involved with the development of jQuery UI. Even if you've never contributed code to an Open Source project before, we're always looking for help identifying bugs, writing and reducing test cases and documentation.",0,1,0,0,0,0,0,usp,student_a,jquery_jquery-ui.xlsx,5,CONTRIBUTING
This is the best way to contribute to jQuery UI. Please read through the full guide detailing [How to Report Bugs](http://contribute.jquery.org/bug-reports/).,1,1,0,0,0,0,0,usp,student_a,jquery_jquery-ui.xlsx,6,CONTRIBUTING
"### Weekly Meetings

Every week (unless otherwise noted) the jQuery UI team has a meeting to discuss the progress of current work and to bring forward possible new blockers for discussion. The meeting is held on [IRC](http://irc.jquery.org) in the #jquery-meeting channel at [Noon EST](http://www.timeanddate.com/worldclock/fixedtime.html?month=1&day=17&year=2011&hour=12&min=0&sec=0&p1=43) on Wednesdays. Meeting notes are posted on http://meetings.jquery.org/category/ui/ after each meeting.",0,0,0,1,0,0,0,usp,student_a,jquery_jquery-ui.xlsx,7,CONTRIBUTING
"## Tips for Getting Started

### Environment: Minimum Required

If you are contributing changes you will need a fork of jquery-ui (see [Getting the Source](#environment-getting-the-source)). If you just want the source code you could clone jquery-ui directly:

```bash
git clone git://github.com/jquery/jquery-ui.git
cd jquery-ui
```",0,0,0,0,1,0,0,usp,student_a,jquery_jquery-ui.xlsx,8,CONTRIBUTING
The tests can run in any local web server. Ideally you should test your patch in appropriate web browsers and if possible run `npm test` to lint the code and run automated tests (this will happen automatically when you create a pull request). See the [Recommended Setup](#environment-recommended-setup) for setting up Node.js so that the `npm test` command works.,0,0,0,0,1,0,0,usp,student_a,jquery_jquery-ui.xlsx,9,CONTRIBUTING
"### Environment: Getting the Source

* Create a fork of the jQuery UI repo on GitHub at http://github.com/jquery/jquery-ui. This will create a fork of jquery-ui in your Github account.",0,0,0,0,1,0,0,usp,student_a,jquery_jquery-ui.xlsx,10,CONTRIBUTING
"* You may want to clone jquery-ui under the path to your web server. If so, change to the required directory

```bash
cd /path/to/your/www/root/
```",0,0,0,0,1,0,0,usp,student_a,jquery_jquery-ui.xlsx,11,CONTRIBUTING
"* Clone your jQuery UI git repo.

```bash
git clone git://github.com/[USERNAME]/jquery-ui.git
cd jquery-ui
```

*Note: be sure to replace `[USERNAME]` with your GitHub username.*",0,0,0,0,1,0,0,usp,student_a,jquery_jquery-ui.xlsx,12,CONTRIBUTING
"* Add the official jQuery repository as a remote. We recommend naming it ""upstream"".

```bash
git remote add upstream git://github.com/jquery/jquery-ui.git
```",0,0,0,0,1,0,0,usp,student_a,jquery_jquery-ui.xlsx,13,CONTRIBUTING
"* Get in the habit of pulling in the ""upstream"" master to stay up to date as jQuery UI receives new commits.

```bash
git pull upstream master
```",0,0,0,0,1,0,0,usp,student_a,jquery_jquery-ui.xlsx,14,CONTRIBUTING
"### Environment: Recommended Setup

jQuery UI uses Node.js to automate the building and validation of source code. Here is how to set that up:

* Get [Node.js](http://nodejs.org/) (includes NPM, necessary for the next step)",0,0,0,0,1,0,0,usp,student_a,jquery_jquery-ui.xlsx,15,CONTRIBUTING
"* Install local Node.js modules

```bash
npm install
```

The tests require a local web server and the samples contain some PHP, so a PHP web server may be useful.",0,0,0,0,1,0,0,usp,student_a,jquery_jquery-ui.xlsx,16,CONTRIBUTING
"* Install a web server. Here are some you could use:
  * Windows: [WAMP download](http://www.wampserver.com/en/)
  * Mac: [MAMP download](http://www.mamp.info/en/index.html)
  * Linux: [Setting up LAMP](https://www.linux.com/learn/tutorials/288158-easy-lamp-server-installation)
  * [Mongoose (most platforms)](http://code.google.com/p/mongoose/)
  * [http-server](https://www.npmjs.com/package/http-server)",0,0,0,0,1,0,0,usp,student_a,jquery_jquery-ui.xlsx,17,CONTRIBUTING
"### Running the Tests

To lint the JavaScript, HTML, and CSS, as well as run a smoke test in PhantomJS, run the full test suite through npm:

```bash
npm test
```",0,0,0,0,1,0,0,usp,student_a,jquery_jquery-ui.xlsx,18,CONTRIBUTING
"To run the tests for a specific plugin in your browser, open the appropriate file from the `/tests/unit/` directory, for example: `http://localhost/tests/unit/accordion/accordion.html`. The domain will be dependent on your local server configuration; if there is a port, be sure to include it.",0,0,0,0,1,0,0,usp,student_a,jquery_jquery-ui.xlsx,19,CONTRIBUTING
"Ideally you would test in all of our [supported browsers](http://jqueryui.com/browser-support/), but if you don't have all of these browsers available, that's ok.
",0,0,0,0,1,0,0,usp,student_a,jquery_jquery-ui.xlsx,20,CONTRIBUTING
"Bitcoin Core integration/staging tree
=====================================

[![Build Status](https://travis-ci.org/bitcoin/bitcoin.svg?branch=master)](https://travis-ci.org/bitcoin/bitcoin)

https://bitcoincore.org",0,0,0,0,0,0,0,usp,student_a,bitcoin_bitcoin.xlsx,2,README
"What is Bitcoin?
----------------

Bitcoin is an experimental digital currency that enables instant payments to
anyone, anywhere in the world. Bitcoin uses peer-to-peer technology to operate
with no central authority: managing transactions and issuing money are carried
out collectively by the network. Bitcoin Core is the name of open source
software which enables the use of this currency.",0,0,0,0,0,0,0,usp,student_a,bitcoin_bitcoin.xlsx,3,README
"For more information, as well as an immediately useable, binary version of
the Bitcoin Core software, see https://bitcoincore.org/en/download/, or read the
[original whitepaper](https://bitcoincore.org/bitcoin.pdf).
",0,0,0,0,1,0,0,usp,student_a,bitcoin_bitcoin.xlsx,4,README
"License
-------

Bitcoin Core is released under the terms of the MIT license. See [COPYING](COPYING) for more
information or see https://opensource.org/licenses/MIT.",0,0,0,0,0,0,0,usp,student_a,bitcoin_bitcoin.xlsx,5,README
"Development Process
-------------------

The `master` branch is regularly built and tested, but is not guaranteed to be
completely stable. [Tags](https://github.com/bitcoin/bitcoin/tags) are created
regularly to indicate new official, stable release versions of Bitcoin Core.",0,0,0,0,0,0,0,usp,student_a,bitcoin_bitcoin.xlsx,6,README
"The contribution workflow is described in [CONTRIBUTING.md](CONTRIBUTING.md)
and useful hints for developers can be found in [doc/developer-notes.md](doc/developer-notes.md).",1,0,0,0,0,0,0,usp,student_a,bitcoin_bitcoin.xlsx,7,README
"Testing
-------

Testing and code review is the bottleneck for development; we get more pull
requests than we can review and test on short notice. Please be patient and help out by testing
other people's pull requests, and remember this is a security-critical project where any mistake might cost people
lots of money.",0,0,0,0,0,1,0,usp,student_a,bitcoin_bitcoin.xlsx,8,README
"### Automated Testing

Developers are strongly encouraged to write [unit tests](src/test/README.md) for new code, and to
submit new unit tests for old code. Unit tests can be compiled and run
(assuming they weren't disabled in configure) with: `make check`. Further details on running
and extending unit tests can be found in [/src/test/README.md](/src/test/README.md).",0,0,0,0,0,0,1,usp,student_a,bitcoin_bitcoin.xlsx,9,README
"There are also [regression and integration tests](/test), written
in Python, that are run automatically on the build server.
These tests can be run (if the [test dependencies](/test) are installed) with: `test/functional/test_runner.py`",0,0,0,0,0,0,0,usp,student_a,bitcoin_bitcoin.xlsx,10,README
"The Travis CI system makes sure that every pull request is built for Windows, Linux, and macOS, and that unit/sanity tests are run automatically.",0,0,0,0,0,0,0,usp,student_a,bitcoin_bitcoin.xlsx,11,README
"### Manual Quality Assurance (QA) Testing

Changes should be tested by somebody other than the developer who wrote the
code. This is especially important for large or high-risk changes. It is useful
to add a test plan to the pull request description if testing the changes is
not straightforward.",0,0,0,0,0,0,0,usp,student_a,bitcoin_bitcoin.xlsx,12,README
"Translations
------------

Changes to translations as well as new translations can be submitted to
[Bitcoin Core's Transifex page](https://www.transifex.com/bitcoin/bitcoin/).",0,0,0,0,0,0,0,usp,student_a,bitcoin_bitcoin.xlsx,13,README
"Translations are periodically pulled from Transifex and merged into the git repository. See the
[translation process](doc/translation_process.md) for details on how this works.",0,0,0,0,0,0,0,usp,student_a,bitcoin_bitcoin.xlsx,14,README
"**Important**: We do not accept translation changes as GitHub pull requests because the next
pull from Transifex would automatically overwrite them.",0,0,0,0,0,0,0,usp,student_a,bitcoin_bitcoin.xlsx,15,README
Translators should also subscribe to the [mailing list](https://groups.google.com/forum/#!forum/bitcoin-translators).,0,0,0,0,0,0,0,usp,student_a,bitcoin_bitcoin.xlsx,16,README
"Contributing to Bitcoin Core
============================

The Bitcoin Core project operates an open contributor model where anyone is
welcome to contribute towards development in the form of peer review, testing
and patches. This document explains the practical process and guidelines for
contributing.",0,0,0,0,0,0,0,usp,student_a,bitcoin_bitcoin.xlsx,2,CONTRIBUTING
"Firstly in terms of structure, there is no particular concept of ""Core
developers"" in the sense of privileged people. Open source often naturally
revolves around meritocracy where longer term contributors gain more trust from
the developer community. However, some hierarchy is necessary for practical
purposes. As such there are repository ""maintainers"" who are responsible for
merging pull requests as well as a ""lead maintainer"" who is responsible for the
release cycle, overall merging, moderation and appointment of maintainers.",1,0,0,0,0,0,0,usp,student_a,bitcoin_bitcoin.xlsx,3,CONTRIBUTING
"If you're looking for somewhere to start contributing, check out the
[good first issue](https://github.com/bitcoin/bitcoin/issues?q=is%3Aopen+is%3Aissue+label%3A%22good+first+issue%22)
list.",0,1,0,0,0,0,0,usp,student_a,bitcoin_bitcoin.xlsx,4,CONTRIBUTING
"Communication Channels
----------------------

Most communication about Bitcoin Core development happens on IRC, in the
#bitcoin-core-dev channel on Freenode. The easiest way to participate on IRC is
with the web client, [webchat.freenode.net](https://webchat.freenode.net/).",0,0,0,1,0,0,0,usp,student_a,bitcoin_bitcoin.xlsx,5,CONTRIBUTING
"Chat
history logs can be found
on [http://www.erisian.com.au/bitcoin-core-dev/](http://www.erisian.com.au/bitcoin-core-dev/)
and [http://gnusha.org/bitcoin-core-dev/](http://gnusha.org/bitcoin-core-dev/).",0,0,0,1,0,0,0,usp,student_a,bitcoin_bitcoin.xlsx,6,CONTRIBUTING
